콘텐츠아이디,콘텐츠분류,제목,언어,타이틀,연관콘텐츠,지번주소,도로명주소,위도,경도,탐나오연동여부,평점,소셜네트워크주소,조회수,외부검색어,좋아요수,리뷰수,북마크수,일정등록수,다녀왔어요수,웹사용여부,모바일사용여부,공개여부,작성상태,사용여부,작성상태_1,영문웹사용여부,중문웹사용여부,일문웹사용여부,영문작성상태,중문작성상태,일문작성상태,영문공개여부,중문공개여부,일문공개여부,영문모바일사용여부,중문모바일사용여부,일문모바일사용여부,영문승인일시,중문승인일시,일문승인일시,등록자,등록일시,수정자,수정일시,소셜네트워크공유수,인기점수,트립어드바이저코드,우편번호,템플릿여부,번역요청일시,영문번역요청일시,중문번역요청일시,일문번역요청일시,페이지검색어자동여부,영문페이지검색어자동여부,중문페이지검색어자동여부,일문페이지검색어자동여부,사진공유수,번체웹사용여부,말레이어웹사용여부,번체작성상태,말레이어작성상태,번체공개여부,말레이어공개여부,번체모바일사용여부,말어모바일사용여부,번체승인일시,말레이어승인일시,번체번역요청일시,말레이어번역요청일시,번체검색어자동여부,말레이어검색어자동여부
CNTS_000000000021518,관광지,탐라신화공원,국문,탐라신화공원,,제주특별자치도 제주시 조천읍 선흘리 1818,제주특별자치도 제주시 조천읍 선교로 474,33.462814,126.70884,y,,,3337,,0,0,5,0,0,y,y,n,y,y,2018-11-27,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-12-29,anonymous,2020-10-22,0,6674,,63341,n,2016-12-29,2016-12-29,2016-12-29,2016-12-29,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000020794,숙박,쪼인게스트하우스,국문,쪼인게스트하우스,,제주특별자치도 제주시 구좌읍 월정리 594,제주특별자치도 제주시 구좌읍 월정1길 62-2,33.556225,126.79338,y,3,http://blog.naver.com/allzzoin,712,,0,2,1,0,0,y,y,n,m,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-11-30,anonymous,2023-03-15,0,1424,,63358,n,2016-11-30,2016-11-30,2016-11-30,2016-11-30,n,n,n,n,3,,,,,,,,,,,,,,
CNTS_000000000022037,관광지,조이다이브,국문,조이다이브,,서귀포시 서호동 728,서귀포시 중산간동로 83838,33.26082,126.52128,y,,,3857,,0,0,24,0,0,y,y,y,y,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-06-28,anonymous,2023-03-15,4,7714,,,n,2017-06-28,2017-06-28,2017-06-28,2017-06-28,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000022249,음식점,귤따고 레드향갈고,국문,귤따고 레드향갈고,,애월읍 고내리 473,제주시 애월읍 애월해안로 274,33.4685411,126.3404047,y,,,1534,,0,0,12,0,0,y,y,n,y,y,2018-12-17,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2017-07-28,anonymous,2023-01-06,0,3068,,,n,2017-07-28,2017-07-28,2017-07-28,2017-07-28,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000020519,음식점,카페숑,국문,카페숑,,제주특별자치도 서귀포시 남원읍 신례리 27-6,제주특별자치도 서귀포시 남원읍 공천포로 91,33.266415,126.64283,y,4,http://www.instagram.com/cafe_syong,2127,,0,3,12,0,0,y,y,y,y,y,2018-12-11,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-11-22,anonymous,2023-03-15,0,4269,,63612,n,2016-11-22,2016-11-22,2016-11-22,2016-11-22,n,n,n,n,5,,,,,,,,,,,,,,
CNTS_000000000020683,음식점,윌라라,국문,윌라라,,제주특별자치도 서귀포시 성산읍 성산리 178-10,제주특별자치도 서귀포시 성산읍 성산중앙로 33,33.46289,126.932846,y,4,blog.naver.com/seo30312/,1627,,0,2,3,0,0,y,y,n,y,y,2018-12-14,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-11-25,anonymous,2023-03-15,0,3264,9230360,63643,n,2016-11-25,2016-11-25,2016-11-25,2016-11-25,n,n,n,n,2,,,,,,,,,,,,,,
CNTS_000000000021502,음식점,대성아귀찜,국문,대성아귀찜,,제주특별자치도 제주시 조천읍 함덕리 3219-1,제주특별자치도 제주시 조천읍 함덕3길 4,33.54425,126.658,y,5,,1774,,1,1,2,0,0,y,y,y,y,y,2019-11-01,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-12-29,anonymous,2023-03-15,0,3556,9021405,63333,n,2016-12-29,2016-12-29,2016-12-29,2016-12-29,y,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000021512,관광지,평대리불턱,국문,평대리불턱,,제주특별자치도 제주시 구좌읍 평대리 515-67,제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3,33.532413,126.84636,y,,,3607,,0,0,7,0,0,y,y,y,y,y,,y,y,y,m,m,m,y,y,y,y,y,y,,,,anonymous,2016-12-29,anonymous,2023-03-15,0,7214,,63360,n,2016-12-29,2016-12-29,2016-12-29,2016-12-29,n,n,n,n,,,,,,,,,,,,,,,
CNTS_000000000021520,관광지,족은노꼬메오름,국문,족은노꼬메오름,,제주특별자치도 제주시 애월읍 유수암리,제주특별자치도 제주시 애월읍 유수암리,33.409443,126.41184,y,,,4656,,0,0,5,0,0,y,y,y,y,y,2019-08-05,y,y,y,y,y,y,y,y,y,y,y,y,2019-08-05,2019-08-05,2019-08-05,anonymous,2016-12-29,anonymous,2023-03-15,3,9312,,63067,n,2016-12-29,2019-08-05,2019-08-05,2019-08-05,y,y,y,y,,y,,y,,y,,y,,2019-08-05,,2019-08-05,,y,
CNTS_000000000021956,축제/행사,에코파티,국문,에코파티,,제주특별자치도 제주시 애월읍 유수암리 1905,제주특별자치도 제주시 애월읍 유수암로 12,33.409441,126.4118394,y,,,27973,,0,0,4,0,0,y,y,y,y,y,2019-05-17,y,y,y,y,y,y,n,n,n,y,y,y,2019-05-17,2019-05-09,2019-05-09,anonymous,2017-05-25,anonymous,2023-03-15,20,55946,,63340,n,2017-05-25,2018-08-21,2018-08-22,2018-08-22,y,y,y,y,,y,,y,,n,,y,,2019-05-09,,2019-02-25,,y,
