"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"2021","2","A","골목상권","1000486","숭문8길","2735","1664","1071","0","255","423","605","849","603","0","76","246","380","560","402","0","179","177","225","289","201"
"2021","2","A","골목상권","1000386","한글비석로22길","1955","947","1008","7","220","393","505","492","338","2","81","195","259","208","202","5","139","198","246","284","136"
"2021","2","A","골목상권","1000601","초록마을로8길","1780","1021","759","8","205","404","487","444","232","6","98","257","294","223","143","2","107","147","193","221","89"
"2021","2","A","골목상권","1000858","방배천로4안길","6670","3345","3325","11","1175","1741","1631","1195","917","3","392","798","816","709","627","8","783","943","815","486","290"
"2021","2","A","골목상권","1000907","도산대로30길","21588","11934","9654","79","5733","6495","4898","2782","1601","22","2154","3473","3199","1902","1184","57","3579","3022","1699","880","417"
"2021","2","A","골목상권","1000259","용마산로94길","1479","1008","471","1","135","212","335","428","368","0","46","122","218","335","287","1","89","90","117","93","81"
"2021","2","A","골목상권","1000957","송이로36길","5749","3648","2101","10","864","1367","1427","1263","818","5","510","914","930","680","609","5","354","453","497","583","209"
"2021","2","A","골목상권","1000983","성내로5길","16714","12021","4693","34","1884","5324","4452","3456","1564","14","1096","3858","3287","2564","1202","20","788","1466","1165","892","362"
"2021","2","A","골목상권","1000982","상일로5길","919","604","315","0","106","183","229","254","147","0","47","119","155","173","110","0","59","64","74","81","37"
"2021","2","A","골목상권","1000041","장충단로8길","11253","6178","5075","32","1960","3119","3017","2360","765","5","686","1825","1809","1370","483","27","1274","1294","1208","990","282"
"2021","2","A","골목상권","1000058","백범로90길","5637","3729","1908","38","1004","1627","1387","992","589","23","564","1101","985","658","398","15","440","526","402","334","191"
"2021","2","A","골목상권","1000267","돌곶이로8길","1501","991","510","3","168","348","339","377","266","0","78","211","198","280","224","3","90","137","141","97","42"
"2021","2","A","골목상권","1000327","삼각산로28길","4686","2178","2508","9","400","813","913","1212","1339","8","129","336","409","677","619","1","271","477","504","535","720"
"2021","2","A","골목상권","1000806","대학길","2550","2069","481","3","369","588","728","612","250","1","250","467","625","522","204","2","119","121","103","90","46"
"2021","2","A","골목상권","1000503","월드컵로7길","4418","2232","2186","10","765","1063","1090","828","662","5","284","491","597","448","407","5","481","572","493","380","255"
"2021","2","A","골목상권","1000712","선유서로25길","5139","3803","1336","16","639","1291","1234","1015","944","8","380","982","931","738","764","8","259","309","303","277","180"
"2021","2","A","골목상권","1000796","남부순환로151길","4734","3287","1447","6","738","1345","1363","927","355","4","350","948","1065","664","256","2","388","397","298","263","99"
"2021","2","A","골목상권","1000925","선릉로132길","14797","8337","6460","62","2966","4134","3407","2601","1627","22","1265","2422","2118","1486","1024","40","1701","1712","1289","1115","603"
"2021","2","A","골목상권","1000974","동남로65길","862","441","421","1","73","196","209","284","99","1","32","75","97","157","79","0","41","121","112","127","20"
"2021","2","A","골목상권","1000671","시흥대로120길","2685","1613","1072","5","314","444","570","715","637","2","180","268","334","415","414","3","134","176","236","300","223"
"2021","2","A","골목상권","1000664","독산로70길","1667","951","716","1","164","263","322","430","487","0","89","139","159","241","323","1","75","124","163","189","164"
"2021","2","A","골목상권","1000214","한천로14길","4755","3015","1740","10","482","875","1053","1151","1184","8","265","564","729","724","725","2","217","311","324","427","459"
"2021","2","A","골목상권","1000176","답십리로68길","4296","2087","2209","10","547","830","982","1006","921","9","238","431","475","481","453","1","309","399","507","525","468"
"2021","2","A","골목상권","1000139","능동로34길","4493","2629","1864","9","675","1001","1143","949","716","4","373","577","667","509","499","5","302","424","476","440","217"
