구직신청번호,성별,나이,학력공통코드,학력공통코드명,희망근무지역(시도)_1,희망근무지역명(시군구)_1,희망근무지역명(시도)_2,희망근무지역명(시군구)_2,희망직종공통코드,희망직종공통코드명,희망직종경력년수,희망직종경력년_월수,구직인증상태공통구분,구직인증상태공통구분명,검색키워드1,검색키워드2,검색키워드3,검색키워드4,검색키워드5,등록일시,수정일시
H305202307102354,남,63,J00106,고등학교,서울,광진구,서울,성동구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",3,3년0월,J03404,알선,,,,,,58:25.0,58:31.0
H001202307102350,여,59,J00101,무학력,서울,마포구,서울,용산구,532200,홀서빙원,15,15년0월,J03404,알선,,,,,,58:03.0,07:38.0
H317202307102336,남,69,J00106,고등학교,서울,구로구,서울,관악구,542000,경비원(건물 관리원),8,8년0월,J03404,알선,,,,,,56:23.0,56:26.0
H306202307102324,여,65,J00106,고등학교,서울,동대문구,서울,,232903,장애인 생활지도원(장애인활동보조원 포함),4,4년0월,J03402,승인,,,,,,54:46.0,54:52.0
H324202307102321,남,74,J00106,고등학교,서울,송파구,서울,강동구,901500,조경원,,신입,J03402,승인,,,,,,54:16.0,54:21.0
H305202307102293,여,65,J00104,중학교,서울,광진구,,,550104,재가 요양보호사,1,1년5월,J03404,알선,,,,,,51:06.0,51:12.0
H325202307102283,여,65,J00106,고등학교,서울,강동구,,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",10,10년0월,J03402,승인,,,,,,49:52.0,49:57.0
H304202307102271,남,72,J00104,중학교,서울,,,,706002,건설?채굴 단순 종사원,10,10년0월,J03402,승인,,,,,,48:19.0,48:23.0
H313202307102266,남,71,J00106,고등학교,서울,서대문구,,,562300,주차 관리?안내원,,신입,J03402,승인,,,,,,47:48.0,47:53.0
H317202307102258,남,50,J00106,고등학교,,,,,706000,건설?채굴 단순 종사원,15,15년0월,J03404,알선,,,,,,46:32.0,46:39.0
H314202307102253,남,73,J00106,고등학교,서울,마포구,서울,,561100,청소원,,신입,J03402,승인,,,,,,45:50.0,45:55.0
H320202307102247,여,60,J00106,고등학교,서울,동작구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03404,알선,,,,,,44:49.0,44:54.0
H319202307102241,남,65,J00106,고등학교,서울,영등포구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",5,5년0월,J03404,알선,,,,,,43:49.0,43:55.0
H316202307102239,여,29,J00108,전문대학,서울,강서구,서울,,29506,사무 보조원(일반사업체),,신입,J03402,승인,,,,,,43:30.0,43:35.0
H310202307102232,남,20,J00110,대학_대학교,서울,도봉구,서울,,240200,소방관,,신입,J03402,승인,,,,,,42:43.0,42:48.0
H105202307102195,남,78,J00100,관계없음,서울,관악구,서울,,562300,주차 관리?안내원,5,5년0월,J03404,알선,,,,,,37:53.0,37:57.0
H890202307102193,여,20,J00106,고등학교,서울,,,,882900,기타 목재?종이 기계 조작원,,신입,J03402,승인,,,,,,37:29.0,37:34.0
H325202307102168,여,64,J00102,초등학교,서울,강동구,서울,,550100,요양 보호사 및 간병인,,신입,J03404,알선,,,,,,33:09.0,33:13.0
H319202307102155,남,24,J00110,대학_대학교,인천,미추홀구,,,26301,총무 및 일반 사무원,,신입,J03402,승인,,,,,,31:34.0,31:40.0
H314202307102149,여,62,J00106,고등학교,서울,마포구,서울,,532300,주방 보조원,4,4년0월,J03402,승인,,,,,,30:30.0,30:35.0
H319202307102127,남,60,J00104,중학교,서울,영등포구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03404,알선,,,,,,27:56.0,27:59.0
H309202307102125,남,74,J00106,고등학교,서울,도봉구,서울,,562900,기타 서비스 단순 종사원,10,10년0월,J03402,승인,방화관리자2급,,,,,27:50.0,27:54.0
H305202307102107,남,71,J00104,중학교,서울,광진구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,25:00.0,25:05.0
H309202307102103,남,68,J00102,초등학교,서울,강북구,서울,,541903,주차 단속원 및 안전 순찰원,,신입,J03402,승인,,,,,,24:41.0,24:44.0
H001202307102094,여,41,J00108,전문대학,서울,구로구,서울,금천구,231100,사회복지사,2,2년3월,J03402,승인,,,,,,23:14.0,26:01.0
H306202307102087,여,68,J00104,중학교,서울,동대문구,,,550104,재가 요양보호사,8,8년0월,J03402,승인,,,,,,22:36.0,22:39.0
H311202307102072,남,62,J00110,대학_대학교,서울,노원구,서울,중랑구,541900,기타 경호?보안 종사원,,신입,J03404,알선,,,,,,20:46.0,20:50.0
H301202307102064,남,66,J00108,전문대학,서울,중구,서울,,702901,건물 보수원 및 영선원(아파트 기계?전기 시설관리 제외),18,18년0월,J03402,승인,,,,,,19:19.0,19:24.0
H307202307102063,여,62,J00106,고등학교,서울,중랑구,서울,,550104,재가 요양보호사,3,3년0월,J03404,알선,,,,,,19:15.0,19:19.0
H311202307102049,여,66,J00104,중학교,서울,노원구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",6,6년0월,J03404,알선,,,,,,17:29.0,17:33.0
H308202307102044,남,67,J00106,고등학교,서울,성북구,서울,,561100,청소원,5,5년0월,J03404,알선,,,,,,16:54.0,16:58.0
H323202307102025,남,57,J00106,고등학교,서울,강남구,서울,송파구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03404,알선,,,,,,14:34.0,14:40.0
H309202307102020,남,72,J00106,고등학교,,,,,561100,청소원,,신입,J03402,승인,,,,,,14:00.0,14:03.0
H107202307102016,남,69,J00106,고등학교,서울,노원구,서울,,562900,기타 서비스 단순 종사원,,신입,J03402,승인,,,,,,13:37.0,13:42.0
H313202307102000,여,68,J00106,고등학교,서울,서대문구,서울,,550104,재가 요양보호사,0,0년1월,J03404,알선,,,,,,11:10.0,11:14.0
H306202307101989,여,64,J00106,고등학교,서울,동대문구,서울,,550100,요양 보호사 및 간병인,1,1년6월,J03404,알선,입주,요양,,,,09:58.0,10:02.0
H317202307101978,남,63,J00102,초등학교,서울,구로구,서울,영등포구,862301,재봉사(의류?직물) ,10,10년0월,J03402,승인,,,,,,08:00.0,56:23.0
H324202307101962,남,78,J00102,초등학교,서울,송파구,,,562900,기타 서비스 단순 종사원,0,0년9월,J03402,승인,청소원,경비원,,,,05:44.0,05:51.0
H322202307101951,여,51,J00106,고등학교,서울,서초구,서울,강남구,29202,콜센터 상담원(콜센터?고객센터?CS센터),15,15년0월,J03404,알선,,,,,,04:16.0,18:19.0
H319202307101947,여,27,J00106,고등학교,서울,영등포구,서울,,890000,제조 단순 종사원,,신입,J03404,알선,,,,,,03:18.0,03:21.0
H302202307101942,여,59,J00106,고등학교,서울,중구,,,25500,공공행정 사무원,,신입,J03404,알선,,,,,,02:35.0,02:39.0
H315202307101941,여,62,J00100,관계없음,서울,양천구,서울,강서구,550104,재가 요양보호사,4,4년0월,J03404,알선,,,,,,02:23.0,02:26.0
H306202307101925,여,70,J00104,중학교,서울,동대문구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,청소,미화,단순,,,00:05.0,00:10.0
H315202307101909,여,53,J00108,전문대학,서울,양천구,서울,영등포구,550103,시설 요양보호사(노인요양사),1,1년0월,J03404,알선,,,,,,57:42.0,57:46.0
H129202307101904,남,66,J00106,고등학교,서울,송파구,서울,강동구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",38,38년0월,J03402,승인,안전,관리,,,,56:19.0,56:26.0
H305202307101876,남,65,J00106,고등학교,서울,,,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,52:19.0,52:23.0
H128202307101865,여,79,J00102,초등학교,서울,강북구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",3,3년0월,J03402,승인,,,,,,50:18.0,50:21.0
H316202307101859,여,63,J00106,고등학교,서울,강서구,,,550104,재가 요양보호사,4,4년2월,J03402,승인,등촌,가양,오후,치매,,49:31.0,49:31.0
H323202307101854,여,68,J00106,고등학교,서울,,,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",7,7년0월,J03404,알선,,,,,,49:01.0,49:04.0
H306202307101845,여,58,J00106,고등학교,서울,동대문구,서울,,550104,재가 요양보호사,1,1년0월,J03404,알선,동대문구,석관동,이문,,,47:45.0,47:51.0
H001202307101843,여,56,J00110,대학_대학교,서울,양천구,서울,영등포구,307500,간호조무사,,신입,J03404,알선,,,,,,47:03.0,07:50.0
H316202307101835,여,55,J00106,고등학교,서울,강서구,,,550104,재가 요양보호사,0,0년6월,J03402,승인,,,,,,46:05.0,46:11.0
H313202307101831,남,72,J00106,고등학교,서울,서대문구,서울,,561100,청소원,,신입,J03402,승인,,,,,,45:44.0,45:49.0
H321202307101826,남,31,J00108,전문대학,서울,관악구,서울,,415503,그래픽아트 기술자,0,0년3월,J03404,알선,모션 그래픽 디자이너,영상 편집,멀티미디어콘텐츠제작,영어 프리토킹,일어 프리토킹,45:19.0,45:19.0
H304202307101813,남,67,J00106,고등학교,서울,성동구,서울,,885900,드론 및 주입?포장?상표부착기 등 기타 기계 조작원,,신입,J03402,승인,,,,,,43:20.0,43:25.0
H314202307101798,남,58,J00110,대학_대학교,서울,마포구,서울,서대문구,561100,청소원,8,8년0월,J03404,알선,,,,,,41:22.0,41:27.0
H317202307101795,여,67,J00104,중학교,서울,구로구,,,550104,재가 요양보호사,10,10년0월,J03404,알선,,,,,,41:06.0,41:11.0
H129202307101792,남,71,J00104,중학교,서울,송파구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03404,알선,,,,,,40:52.0,40:57.0
H320202307101788,남,51,J00108,전문대학,서울,동작구,서울,관악구,550103,시설 요양보호사(노인요양사),14,14년0월,J03404,알선,,,,,,40:09.0,40:14.0
H320202307101785,여,40,J00110,대학_대학교,서울,동작구,서울,,26103,영업 기획?관리?지원 사무원,15,15년5월,J03404,알선,,,,,,39:27.0,39:32.0
H323202307101772,여,71,J00104,중학교,서울,,,,615100,상점 판매원,10,10년0월,J03404,알선,,,,,,38:03.0,38:08.0
H322202307101764,남,64,J00110,대학_대학교,서울,서초구,서울,강남구,562300,주차 관리?안내원,15,15년0월,J03404,알선,,,,,,36:46.0,36:52.0
H303202307101763,여,63,J00104,중학교,서울,용산구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",2,2년0월,J03402,승인,,,,,,36:35.0,36:41.0
H108202307101762,남,60,J00104,중학교,서울,서대문구,서울,마포구,622300,화물차?특수차 운전원,10,10년0월,J03402,승인,,,,,,35:26.0,35:30.0
H312202307101756,여,62,J00104,중학교,서울,은평구,,,550104,재가 요양보호사,,신입,J03402,승인,,,,,,33:58.0,34:04.0
H001202307101745,여,51,J00106,고등학교,서울,노원구,서울,도봉구,29500,전산자료 입력원 및 사무 보조원,1,1년0월,J03402,승인,전산입력,단순 포장 생산,현수막 디자인,코렐드로우,도서관 운영보조,32:18.0,51:59.0
H313202307101739,여,66,J00104,중학교,서울,서대문구,서울,,617900,기타 판매 단순 종사원,,신입,J03404,알선,,,,,,31:48.0,31:54.0
H324202307101724,여,39,J00106,고등학교,서울,강남구,서울,송파구,531700,음료 조리사(바리스타 포함),8,8년0월,J03404,알선,바리스타,제과제빵,경리회계,,,30:22.0,46:48.0
H001202307101723,여,49,J00110,대학_대학교,서울,,서울,송파구,415501,웹 디자이너,9,9년0월,J03402,승인,,,,,,30:13.0,52:24.0
H001202307101713,여,26,J00110,대학_대학교,서울,,경기,고양시,133302,웹 기획자,,신입,J03402,승인,,,,,,28:48.0,04:25.0
H001202307101703,여,31,J00110,대학_대학교,서울,,경기,,25500,공공행정 사무원,,신입,J03402,승인,,,,,,27:43.0,43:36.0
H303202307101697,여,76,J00106,고등학교,서울,용산구,서울,,550104,재가 요양보호사,6,6년2월,J03402,승인,,,,,,26:53.0,26:57.0
H001202307101696,남,56,J00112,석사과정,서울,용산구,서울,마포구,26303,학교행정 사무원(교무),,신입,J03402,승인,직업상담,여신심사,,,,26:05.0,46:53.0
H324202307101695,여,61,J00104,중학교,서울,송파구,서울,,532301,주방 보조원(일반 음식점),20,20년0월,J03404,알선,,,,,,24:01.0,24:06.0
H301202307101680,여,68,J00106,고등학교,서울,종로구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,21:42.0,21:47.0
H324202307101674,여,63,J00106,고등학교,서울,송파구,,,550104,재가 요양보호사,11,11년0월,J03404,알선,,,,,,21:11.0,21:14.0
H001202307101672,여,39,J00112,석사과정,경기,광명시,,,231400,직업상담사,6,6년0월,J03402,승인,,,,,,20:47.0,47:32.0
H304202307101655,여,53,J00106,고등학교,서울,성동구,서울,,232902,아동 생활지도원,,신입,J03404,알선,,,,,,18:27.0,18:30.0
H001202307101652,여,38,J00110,대학_대학교,경기,부천시,서울,,231400,직업상담사,6,6년0월,J03402,승인,,,,,,17:59.0,20:28.0
H314202307101645,여,62,J00106,고등학교,서울,마포구,서울,,550104,재가 요양보호사,1,1년0월,J03404,알선,,,,,,15:21.0,15:21.0
H319202307101644,여,31,J00102,초등학교,서울,영등포구,서울,,532300,주방 보조원,,신입,J03402,승인,,,,,,15:12.0,15:17.0
H321202307101643,여,55,J00104,중학교,서울,관악구,,,550100,요양 보호사 및 간병인,,신입,J03404,알선,,,,,,15:08.0,15:12.0
H118202307101642,여,67,J00104,중학교,서울,동작구,서울,서초구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",10,10년0월,J03402,승인,,,,,,14:12.0,14:16.0
H315202307101641,남,56,J00106,고등학교,서울,양천구,서울,,871100,제과?제빵원,20,20년0월,J03404,알선,,,,,,13:04.0,13:09.0
H317202307101633,여,67,J00106,고등학교,서울,구로구,,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,0년6월,J03402,승인,,,,,,11:41.0,11:46.0
H319202307101616,여,55,J00104,중학교,서울,영등포구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",5,5년1월,J03404,알선,,,,,,08:40.0,08:45.0
H319202307101601,남,38,J00110,대학_대학교,서울,영등포구,,,25500,공공행정 사무원,2,2년1월,J03402,승인,,,,,,03:27.0,03:31.0
H324202307101583,남,65,J00102,초등학교,서울,,서울,강동구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",2,2년9월,J03402,승인,,,,,,59:58.0,00:02.0
H118202307101579,여,70,J00104,중학교,,,,,550104,재가 요양보호사,0,0년6월,J03402,승인,,,,,,59:43.0,59:47.0
H308202307101572,여,60,J00101,무학력,서울,성북구,,,550103,시설 요양보호사(노인요양사),,신입,J03404,알선,,,,,,59:00.0,59:05.0
H317202307101566,남,66,J00106,고등학교,서울,구로구,서울,금천구,622902,승합차 운전원,4,4년3월,J03404,알선,통학버스,1종대형,,,,58:22.0,58:26.0
H318202307101557,여,57,J00106,고등학교,서울,금천구,,,617902,상품 진열원,,신입,J03402,승인,,,,,,57:29.0,57:33.0
H307202307101550,남,63,J00106,고등학교,서울,중랑구,서울,노원구,624103,배송?납품 운전원(납품영업 포함),10,10년0월,J03402,승인,,,,,,53:00.0,53:06.0
H320202307101517,남,72,J00108,전문대학,서울,동작구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03404,알선,,,,,,46:11.0,46:16.0
H312202307101516,여,55,J00106,고등학교,서울,은평구,,,550104,재가 요양보호사,,신입,J03404,알선,,,,,,45:47.0,45:51.0
H316202307101515,여,60,J00106,고등학교,서울,강서구,,,532300,주방 보조원,,신입,J03404,알선,,,,,,44:22.0,44:27.0
H309202307101514,남,70,J00104,중학교,서울,강북구,,,542000,경비원(건물 관리원),5,5년0월,J03402,승인,,,,,,43:21.0,43:25.0
H313202307101513,남,67,J00106,고등학교,서울,종로구,,,561100,청소원,10,10년0월,J03402,승인,,,,,,41:58.0,42:02.0
H314202307101512,여,49,J00106,고등학교,서울,마포구,서울,,29900,기타 사무원,,신입,J03402,승인,,,,,,41:50.0,41:55.0
H318202307101497,남,66,J00110,대학_대학교,서울,금천구,서울,,550104,재가 요양보호사,0,0년9월,J03404,알선,,,,,,39:52.0,39:56.0
H307202307101491,여,68,J00104,중학교,서울,중랑구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03404,알선,,,,,,39:22.0,39:27.0
H305202307101472,남,20,J00110,대학_대학교,경기,,서울,,231100,사회복지사,,신입,J03402,승인,,,,,,35:19.0,35:24.0
H325202307101471,남,66,J00106,고등학교,서울,강동구,서울,,622900,기타 자동차 운전원,,신입,J03402,승인,,,,,,32:44.0,32:50.0
H306202307101470,남,67,J00104,중학교,서울,동대문구,서울,,13903,빌딩 관리소장,4,4년0월,J03402,승인,소장,영선,주차관리,소방안전,경비,32:37.0,32:41.0
H314202307101448,여,68,J00108,전문대학,서울,마포구,서울,,550104,재가 요양보호사,,신입,J03404,알선,,,,,,28:15.0,28:19.0
H325202307101445,남,62,J00104,중학교,서울,강동구,경기,하남시,542001,아파트?빌라 경비원,,신입,J03402,승인,,,,,,27:56.0,28:01.0
H305202307101441,남,20,J00110,대학_대학교,경북,김천시,,,26301,총무 및 일반 사무원,,신입,J03402,승인,,,,,,27:22.0,27:27.0
H306202307101423,여,55,J00106,고등학교,서울,동대문구,서울,,232903,장애인 생활지도원(장애인활동보조원 포함),,신입,J03402,승인,동대문구,장애인활동보조,,,,20:06.0,20:10.0
H001202307101412,남,55,J00106,고등학교,서울,중구,서울,종로구,702901,건물 보수원 및 영선원(아파트 기계?전기 시설관리 제외),4,4년10월,J03402,승인,영선,소방안전원 보조자,,,,18:47.0,32:07.0
H304202307101402,여,73,J00104,중학교,서울,성동구,서울,강남구,561601,가사 도우미,1,1년0월,J03402,승인,,,,,,17:25.0,17:31.0
H303202307101398,남,55,J00106,고등학교,서울,용산구,서울,마포구,624103,배송?납품 운전원(납품영업 포함),10,10년0월,J03402,승인,배송,배달,운전,원효로3가,,15:13.0,15:18.0
H324202307101397,여,59,J00104,중학교,서울,강동구,서울,송파구,561100,청소원,2,2년6월,J03405,알선대기,,,,,,12:38.0,12:42.0
H304202307101394,여,57,J00106,고등학교,서울,성동구,서울,,550104,재가 요양보호사,,신입,J03404,알선,,,,,,12:20.0,12:25.0
H001202307101384,여,23,J00110,대학_대학교,,,,,135001,정보보호 전문가,,신입,J03402,승인,,,,,,10:59.0,23:27.0
H305202307101370,남,68,J00104,중학교,서울,광진구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03404,알선,,,,,,09:15.0,09:21.0
H323202307101368,여,71,J00104,중학교,서울,강남구,서울,성동구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",12,12년0월,J03404,알선,성수동,청소원,경력,,,08:58.0,09:02.0
H323202307101353,여,56,J00102,초등학교,서울,강남구,서울,중랑구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",3,3년4월,J03405,알선대기,,,,,,04:47.0,04:51.0
H001202307101337,여,64,J00114,박사과정,서울,,경기,,214113,그 외 문리?어학 강사,,신입,J03402,승인,외국어,강의,안내 해설,,,02:18.0,43:48.0
H317202307101335,여,33,J00110,대학_대학교,서울,구로구,서울,금천구,28102,무역 사무원(중국어),2,2년0월,J03404,알선,,,,,,01:28.0,01:33.0
H311202307101334,남,62,J00110,대학_대학교,서울,노원구,서울,,232900,기타 사회복지 종사원,,신입,J03402,승인,,,,,,01:27.0,01:32.0
H315202307101321,여,63,J00106,고등학교,서울,양천구,,,307500,간호조무사,30,30년0월,J03402,승인,,,,,,59:28.0,59:33.0
H304202307101315,여,59,J00104,중학교,서울,성동구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,59:05.0,59:10.0
H322202307101293,여,46,J00106,고등학교,서울,서초구,서울,,29505,사무 보조원(공공기관),10,10년0월,J03402,승인,,,,,,55:11.0,55:16.0
H301202307101281,여,57,J00110,대학_대학교,서울,,,,550104,재가 요양보호사,,신입,J03404,알선,,,,,,53:46.0,53:50.0
H323202307101273,여,52,J00110,대학_대학교,서울,강남구,서울,서초구,29505,사무 보조원(공공기관),,신입,J03402,승인,,,,,,52:33.0,52:38.0
H307202307101251,여,67,J00106,고등학교,서울,중랑구,서울,,550104,재가 요양보호사,0,0년2월,J03404,알선,,,,,,48:59.0,49:03.0
H306202307101244,여,72,J00108,전문대학,서울,동대문구,서울,,550104,재가 요양보호사,10,10년0월,J03404,알선,요양,동대문구,,,,47:54.0,47:58.0
H310202307101231,여,64,J00100,관계없음,서울,도봉구,서울,노원구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",10,10년0월,J03404,알선,,,,,,45:41.0,45:47.0
H125202307101225,남,72,J00106,고등학교,서울,도봉구,서울,,542001,아파트?빌라 경비원,10,10년0월,J03404,알선,,,,,,44:56.0,45:02.0
H301202307101208,남,66,J00106,고등학교,서울,,,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03404,알선,,,,,,42:49.0,42:52.0
H321202307101185,남,65,J00102,초등학교,서울,관악구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",1,1년0월,J03404,알선,경비,,,,,39:56.0,40:00.0
H311202307101174,남,69,J00104,중학교,서울,강북구,서울,,415301,인테리어 디자이너,30,30년0월,J03402,승인,,,,,,38:43.0,38:46.0
H317202307101163,남,53,J00106,고등학교,서울,구로구,서울,,612407,일반 영업원,25,25년0월,J03404,알선,,,,,,37:30.0,37:36.0
H316202307101154,여,58,J00104,중학교,서울,강서구,서울,양천구,550103,시설 요양보호사(노인요양사),,신입,J03402,승인,,,,,,34:48.0,34:53.0
H101202307101145,남,64,J00110,대학_대학교,서울,은평구,경기,고양시,25500,공공행정 사무원,2,2년0월,J03402,승인,,,,,,33:12.0,33:16.0
H308202307101134,여,61,J00104,중학교,서울,성북구,,,550104,재가 요양보호사,3,3년0월,J03404,알선,,,,,,31:51.0,31:55.0
H324202307101133,남,34,J00110,대학_대학교,서울,,경기,성남시,214106,영어 강사,3,3년0월,J03404,알선,,,,,,31:49.0,31:55.0
H307202307101131,여,62,J00102,초등학교,서울,중랑구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03404,알선,,,,,,31:44.0,31:49.0
H324202307101127,여,59,J00104,중학교,서울,송파구,서울,강동구,532300,주방 보조원,10,10년0월,J03404,알선,,,,,,30:59.0,31:03.0
H305202307101125,남,21,J00110,대학_대학교,서울,광진구,경기,파주시,28308,물류 사무원(물류 관리사),,신입,J03402,승인,,,,,,30:21.0,30:27.0
H325202307101121,남,54,J00110,대학_대학교,서울,전체,경기,하남시,622301,경?소형 화물차 운전원,20,20년0월,J03404,알선,운전,생산,,,,29:53.0,44:00.0
H308202307101111,남,58,J00104,중학교,서울,성북구,서울,강북구,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",0,신입,J03402,승인,,,,,,28:18.0,40:21.0
H308202307101106,여,65,J00100,관계없음,서울,성북구,서울,,550104,재가 요양보호사,,신입,J03404,알선,,,,,,27:30.0,27:34.0
H317202307101092,여,52,J00108,전문대학,서울,구로구,경기,광명시,616101,매장 계산원,2,2년0월,J03402,승인,,,,,,23:53.0,23:58.0
H315202307101087,여,69,J00104,중학교,서울,양천구,,,550104,재가 요양보호사,2,2년0월,J03404,알선,,,,,,23:21.0,23:25.0
H101202307101080,남,58,J00110,대학_대학교,서울,강서구,,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,22:27.0,22:35.0
H120202307101075,남,73,J00106,고등학교,서울,은평구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",9,9년0월,J03402,승인,,,,,,21:58.0,22:03.0
H304202307101068,여,63,J00106,고등학교,서울,성동구,서울,,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",,신입,J03402,승인,,,,,,20:58.0,21:03.0
H315202307101067,여,33,J00110,대학_대학교,서울,양천구,서울,영등포구,29500,전산자료 입력원 및 사무 보조원,,신입,J03404,알선,,,,,,20:53.0,20:57.0
H303202307101064,여,55,J00106,고등학교,서울,용산구,서울,,532301,주방 보조원(일반 음식점),0,0년5월,J03404,알선,주방보조,조리원,,,,20:36.0,20:41.0
H325202307101049,여,55,J00106,고등학교,서울,강동구,,,615101,백화점 판매원,,신입,J03402,승인,,,,,,17:47.0,17:51.0
H323202307101039,여,48,J00106,고등학교,서울,,,,28101,무역 사무원(영어),17,17년0월,J03402,승인,,,,,,16:33.0,16:39.0
H301202307101036,남,48,J00106,고등학교,서울,종로구,서울,,542000,경비원(건물 관리원),,신입,J03402,승인,,,,,,15:49.0,15:54.0
H324202307101026,여,61,J00106,고등학교,서울,강남구,서울,송파구,561200,환경미화원 및 재활용품 수거원,1,1년4월,J03402,승인,,,,,,13:42.0,13:46.0
H310202307101020,여,66,J00102,초등학교,서울,도봉구,서울,동대문구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",10,10년0월,J03404,알선,청소,,,,,12:44.0,12:47.0
H001202307101013,남,26,J00110,대학_대학교,서울,,경기,,26102,마케팅?광고?홍보?상품기획 사무원,,신입,J03402,승인,,,,,,11:05.0,09:00.0
H001202307101001,여,40,J00106,고등학교,서울,금천구,,,531200,한식 조리사,1,1년0월,J03402,승인,한식 조리사,,,,,08:20.0,51:29.0
H320202307100994,남,60,J00106,고등학교,서울,동작구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03404,알선,,,,,,06:56.0,07:01.0
H314202307100989,남,74,J00106,고등학교,서울,마포구,서울,,542001,아파트?빌라 경비원,,신입,J03402,승인,,,,,,05:27.0,05:32.0
H319202307100987,남,70,J00106,고등학교,서울,영등포구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,04:48.0,04:51.0
H306202307100986,여,55,J00106,고등학교,서울,동대문구,서울,,550103,시설 요양보호사(노인요양사),4,4년0월,J03404,알선,동대문구,데이케어,장애인활동보조,,,04:47.0,04:51.0
H310202307100979,여,64,J00104,중학교,서울,도봉구,서울,노원구,550104,재가 요양보호사,1,1년0월,J03404,알선,재가,,,,,03:47.0,03:52.0
H304202307100976,남,68,J00102,초등학교,서울,성동구,서울,,542002,"건물 경비원(청사,학교,병원,상가,빌딩,공장 등)",,신입,J03402,승인,,,,,,03:12.0,03:18.0
H323202307100950,남,74,J00106,고등학교,서울,강남구,서울,서초구,622904,주차 운전원,7,7년0월,J03404,알선,,,,,,59:26.0,59:31.0
H317202307100947,남,69,J00104,중학교,서울,구로구,서울,영등포구,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",2,2년0월,J03402,승인,중국인,격일,,,,59:04.0,59:08.0
H305202307100931,남,23,J00110,대학_대학교,경기,수원시,서울,,417200,연예인 매니저 및 스포츠 매니저,,신입,J03402,승인,,,,,,57:20.0,57:25.0
H304202307100925,여,34,J00108,전문대학,서울,성동구,서울,광진구,232100,보육 교사,0,0년7월,J03402,승인,,,,,,56:40.0,56:46.0
H323202307100923,남,68,J00106,고등학교,서울,강남구,서울,송파구,542001,아파트?빌라 경비원,,신입,J03404,알선,,,,,,56:15.0,56:19.0
H313202307100919,여,67,J00106,고등학교,서울,서대문구,서울,은평구,550104,재가 요양보호사,1,1년0월,J03404,알선,,,,,,54:40.0,54:44.0
